City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Bredasdorp,ZA,2021-09-23 22:51:44,-34.5322,20.0403,54.72,76,71,5.75
1,Ginir,ET,2021-09-23 22:51:44,7.1333,40.7,61.43,73,58,4.47
2,Beringovskiy,RU,2021-09-23 22:51:45,63.05,179.3167,36.41,82,100,15.28
3,Necochea,AR,2021-09-23 22:51:46,-38.5473,-58.7368,55.04,93,38,8.79
4,Slidell,US,2021-09-23 22:50:40,30.2752,-89.7812,78.87,46,1,1.99
5,Kieta,PG,2021-09-23 22:51:47,-6.2167,155.6333,83.08,69,100,2.75
6,Barrow,US,2021-09-23 22:51:48,71.2906,-156.7887,26.62,86,90,5.75
7,Forestville,US,2021-09-23 22:51:49,38.8451,-76.875,70.66,68,75,1.99
8,Provideniya,RU,2021-09-23 22:51:50,64.3833,-173.3,33.91,69,90,8.95
9,Cairns,AU,2021-09-23 22:49:13,-16.9167,145.7667,78.12,68,41,11.5
10,Jamestown,US,2021-09-23 22:51:50,42.097,-79.2353,55.18,81,90,5.01
11,Nikolskoye,RU,2021-09-23 22:51:51,59.7035,30.7861,46.29,89,99,10.98
12,Lebu,CL,2021-09-23 22:51:51,-37.6167,-73.65,52.16,79,2,11.74
13,Fomboni,KM,2021-09-23 22:51:52,-12.28,43.7425,76.39,80,0,11.21
14,Bethel,US,2021-09-23 22:51:52,41.3712,-73.414,76.73,89,90,1.99
15,Carndonagh,IE,2021-09-23 22:51:53,55.25,-7.2667,52.97,86,17,9.06
16,Ushuaia,AR,2021-09-23 22:51:54,-54.8,-68.3,47.86,37,40,14.97
17,Souillac,MU,2021-09-23 22:51:54,-20.5167,57.5167,72.36,88,75,12.66
18,Conde,BR,2021-09-23 22:51:55,-7.2597,-34.9075,76.46,88,20,9.22
19,Ponta Do Sol,PT,2021-09-23 22:51:56,32.6667,-17.1,70.43,53,67,4.92
20,Ancud,CL,2021-09-23 22:51:56,-41.8697,-73.8203,53.42,84,98,9.55
21,Myitkyina,MM,2021-09-23 22:51:57,25.3833,97.4,73.02,81,6,1.9
22,Emba,KZ,2021-09-23 22:51:57,48.8264,58.1442,49.91,45,88,19.33
23,Busselton,AU,2021-09-23 22:51:58,-33.65,115.3333,44.1,78,0,10.6
24,Hobart,AU,2021-09-23 22:51:59,-42.8794,147.3294,52.11,58,20,24.16
25,Port Alfred,ZA,2021-09-23 22:51:59,-33.5906,26.891,61.07,74,61,17.09
26,Katsuura,JP,2021-09-23 22:52:00,35.1333,140.3,77.11,72,89,13.67
27,Huancabamba,PE,2021-09-23 22:52:00,-5.2386,-79.4506,61.79,80,76,3.13
28,Saint-Philippe,RE,2021-09-23 22:47:50,-21.3585,55.7679,69.35,79,35,11.52
29,Lavrentiya,RU,2021-09-23 22:52:01,65.5833,-171.0,33.01,67,95,3.76
30,Marrakesh,MA,2021-09-23 22:52:02,31.6315,-8.0083,69.87,68,0,8.05
31,Kedrovyy,RU,2021-09-23 22:52:02,56.1667,91.8167,30.61,96,92,3.18
32,Ilulissat,GL,2021-09-23 22:52:03,69.2167,-51.1,17.01,87,100,4.72
33,Najran,SA,2021-09-23 22:52:04,17.4924,44.1277,74.05,21,10,2.24
34,Norman Wells,CA,2021-09-23 22:52:04,65.282,-126.8329,39.24,81,75,9.22
35,Leh,IN,2021-09-23 22:50:47,34.1667,77.5833,51.58,60,19,4.74
36,Tuktoyaktuk,CA,2021-09-23 22:52:05,69.4541,-133.0374,35.6,75,75,2.3
37,Dikson,RU,2021-09-23 22:52:06,73.5069,80.5464,34.52,70,67,8.08
38,Mataura,NZ,2021-09-23 22:52:07,-46.1927,168.8643,50.49,51,50,9.98
39,Budogoshch,RU,2021-09-23 22:52:08,59.2816,32.4707,45.01,89,97,9.66
40,Georgetown,MY,2021-09-23 22:49:59,5.4112,100.3354,79.9,90,20,2.3
41,Hilo,US,2021-09-23 22:52:09,19.7297,-155.09,85.28,61,1,8.05
42,Alta Floresta,BR,2021-09-23 22:52:10,-9.8756,-56.0861,85.41,39,86,2.93
43,Rikitea,PF,2021-09-23 22:52:11,-23.1203,-134.9692,74.14,76,96,22.95
44,Tasiilaq,GL,2021-09-23 22:52:11,65.6145,-37.6368,23.13,59,64,4.14
45,Deputatskiy,RU,2021-09-23 22:52:12,69.3,139.9,34.32,85,98,4.85
46,Mkushi,ZM,2021-09-23 22:52:12,-13.6202,29.3939,62.29,66,24,6.87
47,Lata,PT,2021-09-23 22:52:13,40.1629,-8.3327,65.05,88,76,4.85
48,Castro,BR,2021-09-23 22:52:13,-24.7911,-50.0119,54.59,71,80,5.91
49,Nouadhibou,MR,2021-09-23 22:52:14,20.931,-17.0347,69.78,88,0,13.8
50,Atuona,PF,2021-09-23 22:52:15,-9.8,-139.0333,78.03,75,9,17.0
51,Sault Sainte Marie,CA,2021-09-23 22:48:09,46.5168,-84.3333,52.09,81,90,5.75
52,Bluff,NZ,2021-09-23 22:52:15,-46.6,168.3333,50.81,68,85,25.34
53,Ketchikan,US,2021-09-23 22:52:17,55.3422,-131.6461,53.58,93,90,14.97
54,Yaan,NG,2021-09-23 22:52:17,7.3833,8.5667,73.63,94,94,2.66
55,Kapaa,US,2021-09-23 22:52:18,22.0752,-159.319,82.38,73,40,4.0
56,Qaanaaq,GL,2021-09-23 22:52:18,77.484,-69.3632,16.3,57,98,6.53
57,Abu Kamal,SY,2021-09-23 22:52:19,34.4506,40.9171,77.16,45,0,12.33
58,Batagay-Alyta,RU,2021-09-23 22:52:20,67.8006,130.4114,32.74,79,30,2.75
59,Puerto Ayora,EC,2021-09-23 22:51:55,-0.7393,-90.3518,75.16,83,66,11.07
60,Torbay,CA,2021-09-23 22:52:21,47.6666,-52.7314,57.97,89,75,4.61
61,Faanui,PF,2021-09-23 22:52:21,-16.4833,-151.75,78.19,71,14,12.57
62,Puerto Ayacucho,VE,2021-09-23 22:52:21,5.6639,-67.6236,75.78,93,100,3.67
63,Port Elizabeth,ZA,2021-09-23 22:51:49,-33.918,25.5701,61.11,77,0,19.57
64,Vaini,TO,2021-09-23 22:52:22,-21.2,-175.2,78.96,83,75,6.91
65,Manzhouli,CN,2021-09-23 22:52:23,49.6,117.4333,42.22,80,62,4.36
66,Hamilton,US,2021-09-23 22:49:42,39.1834,-84.5333,64.63,64,75,3.0
67,Poum,NC,2021-09-23 22:52:24,-20.2333,164.0167,70.43,65,34,8.9
68,Chokurdakh,RU,2021-09-23 22:48:20,70.6333,147.9167,32.2,92,100,2.89
69,Kitangari,TZ,2021-09-23 22:52:24,-10.65,39.3333,67.95,89,70,6.64
70,Liverpool,GB,2021-09-23 22:52:25,53.4106,-2.9779,60.3,87,0,2.3
71,Northam,GB,2021-09-23 22:52:26,51.0333,-4.2167,58.66,93,91,4.14
72,Dingle,PH,2021-09-23 22:52:26,10.9995,122.6711,78.91,89,84,5.12
73,Tuatapere,NZ,2021-09-23 22:47:44,-46.1333,167.6833,53.82,60,69,11.12
74,Tura,IN,2021-09-23 22:52:27,25.5198,90.2201,72.88,90,42,2.73
75,Punta Arenas,CL,2021-09-23 22:52:12,-53.15,-70.9167,46.51,66,75,9.22
76,Balikpapan,ID,2021-09-23 22:52:28,-1.2675,116.8289,77.99,94,40,4.61
77,Albany,US,2021-09-23 22:52:18,42.6001,-73.9662,76.03,80,100,14.12
78,Fairbanks,US,2021-09-23 22:49:07,64.8378,-147.7164,43.61,47,90,3.44
79,Cape Town,ZA,2021-09-23 22:52:29,-33.9258,18.4232,58.87,89,75,1.01
80,Poselki,RU,2021-09-23 22:52:29,53.1324,46.5031,48.16,95,100,4.74
81,Ciudad Guayana,VE,2021-09-23 22:52:30,8.3533,-62.6528,88.52,68,82,3.42
82,Yantal,RU,2021-09-23 22:52:30,56.8471,105.2542,35.51,73,83,0.83
83,Broome,US,2021-09-23 22:52:31,42.2506,-75.833,65.98,81,75,1.99
84,Iqaluit,CA,2021-09-23 22:52:32,63.7506,-68.5145,31.73,80,90,14.97
85,Lompoc,US,2021-09-23 22:52:32,34.6391,-120.4579,88.79,71,1,14.97
86,New Norfolk,AU,2021-09-23 22:52:33,-42.7826,147.0587,51.75,79,95,4.0
87,Aanekoski,FI,2021-09-23 22:52:33,62.6946,25.818,44.67,100,100,13.27
88,Buala,SB,2021-09-23 22:52:34,-8.145,159.5921,81.84,76,100,4.41
89,Chernyshevskiy,RU,2021-09-23 22:52:36,63.0128,112.4714,36.19,90,100,2.53
90,Talnakh,RU,2021-09-23 22:52:36,69.4865,88.3972,33.08,78,7,6.91
91,Kihei,US,2021-09-23 22:52:37,20.785,-156.4656,84.97,75,40,24.16
92,Sur,OM,2021-09-23 22:52:37,22.5667,59.5289,85.14,67,76,3.78
93,Sao Joao Da Barra,BR,2021-09-23 22:52:38,-21.6403,-41.0511,67.12,67,77,10.42
94,Bara,NG,2021-09-23 22:52:39,10.3744,10.7288,70.52,91,97,4.32
95,Jaragua,BR,2021-09-23 22:52:39,-15.7569,-49.3344,88.02,34,99,7.94
96,Hasaki,JP,2021-09-23 22:52:40,35.7333,140.8333,73.8,65,84,13.89
97,Mahibadhoo,MV,2021-09-23 22:52:40,3.7833,72.9667,82.78,76,97,16.55
98,Samarai,PG,2021-09-23 22:52:41,-10.6167,150.6667,77.88,87,95,15.32
99,Teseney,ER,2021-09-23 22:52:42,15.11,36.6575,79.81,64,100,4.54
100,Saskylakh,RU,2021-09-23 22:52:42,71.9167,114.0833,33.51,97,100,10.74
101,Santa Rosa,PH,2021-09-23 22:52:43,14.3122,121.1114,81.86,81,97,2.71
102,Aklavik,CA,2021-09-23 22:52:43,68.2191,-135.0107,38.12,78,96,5.48
103,Roald,NO,2021-09-23 22:52:44,62.5833,6.1333,48.9,76,20,9.22
104,Turukhansk,RU,2021-09-23 22:52:44,65.8167,87.9833,26.56,90,29,9.64
105,Sola,VU,2021-09-23 22:52:45,-13.8833,167.55,83.07,84,75,5.75
106,Longkou,CN,2021-09-23 22:52:45,37.6508,120.3286,69.75,81,100,10.11
107,Bowmore,US,2021-09-23 22:52:46,34.9421,-79.3031,76.91,61,0,1.99
108,Tiksi,RU,2021-09-23 22:52:46,71.6872,128.8694,37.13,79,80,21.72
109,Lang Son,VN,2021-09-23 22:52:47,21.8333,106.7333,72.81,98,70,3.67
110,Cabo San Lucas,MX,2021-09-23 22:52:47,22.8909,-109.9124,94.51,70,9,9.08
111,Jibuti,DJ,2021-09-23 22:52:48,11.5,42.5,87.22,39,4,4.07
112,Quatre Cocos,MU,2021-09-23 22:48:22,-20.2078,57.7625,72.09,80,68,16.26
113,Mount Gambier,AU,2021-09-23 22:52:48,-37.8333,140.7667,51.71,82,75,12.66
114,Denpasar,ID,2021-09-23 22:48:19,-8.65,115.2167,78.46,94,40,10.36
115,Bandarbeyla,SO,2021-09-23 22:52:49,9.4942,50.8122,77.63,83,47,25.14
116,Taoudenni,ML,2021-09-23 22:52:50,22.6783,-3.9836,95.86,9,0,4.38
117,Gavardo,IT,2021-09-23 22:52:50,45.5894,10.4426,63.84,82,4,2.3
118,Yellowknife,CA,2021-09-23 22:52:04,62.456,-114.3525,46.92,87,90,5.75
119,Comodoro Rivadavia,AR,2021-09-23 22:52:51,-45.8667,-67.5,66.06,32,0,13.8
120,Hermanus,ZA,2021-09-23 22:52:51,-34.4187,19.2345,56.89,90,78,10.45
121,Saint-Pierre,RE,2021-09-23 22:52:52,-21.3393,55.4781,69.44,73,0,5.75
122,Sampit,ID,2021-09-23 22:52:52,-2.5333,112.95,75.65,95,95,1.45
123,Lahij,YE,2021-09-23 22:52:53,13.1667,44.5833,89.13,44,9,3.76
124,Marica,BR,2021-09-23 22:52:53,-22.9194,-42.8186,69.96,72,1,12.35
125,Kaitangata,NZ,2021-09-23 22:52:54,-46.2817,169.8464,52.99,51,20,11.54
126,Mahebourg,MU,2021-09-23 22:52:55,-20.4081,57.7,72.25,88,75,12.66
127,Port Hardy,CA,2021-09-23 22:48:17,50.6996,-127.4199,55.58,71,75,8.05
128,East London,ZA,2021-09-23 22:49:58,-33.0153,27.9116,66.54,46,46,15.77
129,Madimba,TZ,2021-09-23 22:52:55,-10.4,40.3333,73.56,87,25,9.28
130,Bengkulu,ID,2021-09-23 22:52:56,-3.8004,102.2655,74.66,88,95,4.05
131,Chaoyang,CN,2021-09-23 22:52:56,41.5703,120.4586,58.33,89,100,2.17
132,Skibbereen,IE,2021-09-23 22:52:57,51.55,-9.2667,58.8,93,83,7.43
133,Belle Fourche,US,2021-09-23 22:52:58,44.6714,-103.8522,79.9,16,63,11.16
134,Pisco,PE,2021-09-23 22:52:58,-13.7,-76.2167,66.25,68,0,13.8
135,Tres Arroyos,AR,2021-09-23 22:52:59,-38.3739,-60.2798,51.91,86,32,9.28
136,Jamapa,MX,2021-09-23 22:52:59,19.0333,-96.2333,83.07,54,20,15.08
137,Clyde River,CA,2021-09-23 22:53:00,70.4692,-68.5914,30.43,86,75,14.97
138,Tailai,CN,2021-09-23 22:53:00,46.3833,123.4,51.94,85,39,6.13
139,Wilmington,US,2021-09-23 22:52:36,34.2257,-77.9447,78.71,71,1,8.05
140,Pangoa,PE,2021-09-23 22:53:02,-12.1167,-73.0,70.47,84,60,4.09
141,Cayenne,GF,2021-09-23 22:53:02,4.9333,-52.3333,83.08,80,0,3.0
142,Henties Bay,NA,2021-09-23 22:53:03,-22.116,14.2845,55.85,86,0,8.79
143,Bom Jesus,BR,2021-09-23 22:53:03,-9.0744,-44.3586,86.18,35,74,4.88
144,Razdolnoye,RU,2021-09-23 22:53:04,43.55,131.9167,54.01,80,38,7.52
145,Avarua,CK,2021-09-23 22:53:05,-21.2078,-159.775,77.05,57,90,3.44
146,Mar Del Plata,AR,2021-09-23 22:52:40,-38.0023,-57.5575,53.62,100,90,6.91
147,Dongsheng,CN,2021-09-23 22:53:05,39.8161,109.9776,56.14,88,100,4.38
148,Sao Filipe,CV,2021-09-23 22:53:06,14.8961,-24.4956,79.0,77,61,8.84
149,Glace Bay,CA,2021-09-23 22:53:06,46.1969,-59.957,67.96,81,20,1.99
150,Behshahr,IR,2021-09-23 22:53:07,36.6923,53.5526,71.2,83,8,1.01
151,Gao,ML,2021-09-23 22:53:07,16.6362,1.637,92.88,31,51,8.05
152,Kondagaon,IN,2021-09-23 22:53:08,19.6,81.6667,70.79,97,100,2.82
153,Brigantine,US,2021-09-23 22:53:08,39.4101,-74.3646,70.05,91,90,5.75
154,Moron,AR,2021-09-23 22:52:23,-34.6534,-58.6198,62.02,76,52,1.99
155,Amazar,RU,2021-09-23 22:53:09,53.858,120.875,42.76,93,38,1.79
156,Chuy,UY,2021-09-23 22:53:10,-33.6971,-53.4616,54.88,95,91,5.48
157,Ust-Maya,RU,2021-09-23 22:53:10,60.4167,134.5333,42.21,64,4,2.75
158,Saint-Francois,FR,2021-09-23 22:53:11,46.4154,3.9054,51.48,100,15,1.14
159,Hofn,IS,2021-09-23 22:53:11,64.2539,-15.2082,41.68,79,100,11.43
160,Port Hedland,AU,2021-09-23 22:53:12,-20.3167,118.5667,62.65,59,34,0.0
161,Pangnirtung,CA,2021-09-23 22:53:12,66.1451,-65.7125,33.8,69,75,11.5
162,Horsham,GB,2021-09-23 22:53:13,51.064,-0.3272,61.5,93,40,3.44
163,Moroni,KM,2021-09-23 22:53:13,-11.7022,43.2551,74.41,83,1,6.31
164,Koumac,NC,2021-09-23 22:53:14,-20.5667,164.2833,73.22,53,28,4.14
165,Tual,ID,2021-09-23 22:53:15,-5.6667,132.75,79.84,82,83,19.84
166,High Level,CA,2021-09-23 22:53:15,58.5169,-117.136,55.51,44,40,11.5
167,Grindavik,IS,2021-09-23 22:53:15,63.8424,-22.4338,43.27,87,75,14.97
168,Bojonegoro,ID,2021-09-23 22:53:16,-7.1502,111.8817,77.95,82,95,3.44
169,Carnarvon,AU,2021-09-23 22:53:16,-24.8667,113.6333,66.27,77,0,19.57
170,Steamboat Springs,US,2021-09-23 22:53:17,40.485,-106.8317,73.11,19,1,4.61
171,Nishihara,JP,2021-09-23 22:53:17,26.1842,127.7558,79.88,85,20,6.91
172,Lamar,US,2021-09-23 22:53:18,33.6668,-95.5836,82.56,21,1,5.75
173,Arraial Do Cabo,BR,2021-09-23 22:53:19,-22.9661,-42.0278,67.96,52,75,8.05
174,Khatanga,RU,2021-09-23 22:53:19,71.9667,102.5,32.76,96,100,6.51
175,Daoukro,CI,2021-09-23 22:53:20,7.0591,-3.9631,72.1,99,57,1.95
176,Osinovo,RU,2021-09-23 22:53:21,55.8809,48.881,48.29,94,100,11.92
177,San Ramon,US,2021-09-23 22:48:43,37.7799,-121.978,99.23,23,1,1.01
178,Vostok,RU,2021-09-23 22:53:23,46.4856,135.8833,46.53,85,0,2.39
179,Port Lincoln,AU,2021-09-23 22:53:23,-34.7333,135.8667,55.04,73,69,16.51
180,Butaritari,KI,2021-09-23 22:53:24,3.0707,172.7902,83.05,75,4,16.75
181,Glasgow,GB,2021-09-23 22:53:25,55.8652,-4.2576,57.2,86,20,14.97
182,Solnechnyy,RU,2021-09-23 22:53:25,50.7214,136.6319,51.04,56,1,1.05
183,Flin Flon,CA,2021-09-23 22:53:26,54.7682,-101.865,49.84,81,75,14.97
184,Grand Forks,US,2021-09-23 22:53:26,47.9417,-97.4337,77.79,38,40,8.05
185,La Union,PE,2021-09-23 22:53:27,-5.4,-80.75,71.37,66,10,15.59
186,Alugan,PH,2021-09-23 22:53:28,12.2188,125.4808,82.8,81,29,5.59
187,Hatsukaichi,JP,2021-09-23 22:53:29,34.35,132.3333,68.2,70,63,3.85
188,Pemberton,CA,2021-09-23 22:53:29,50.3164,-122.8027,69.49,43,54,2.57
189,Egvekinot,RU,2021-09-23 22:53:30,66.3167,-179.1667,26.76,84,100,5.99
190,Littleton,US,2021-09-23 22:53:30,39.6133,-105.0166,83.35,15,67,1.01
191,Mantua,IT,2021-09-23 22:53:31,45.1667,10.7833,65.35,83,7,1.74
192,Salalah,OM,2021-09-23 22:53:32,17.0151,54.0924,79.99,87,71,4.41
193,Mayumba,GA,2021-09-23 22:53:32,-3.432,10.6554,75.67,86,56,4.16
194,Port Blair,IN,2021-09-23 22:53:33,11.6667,92.75,80.22,82,100,10.33
195,Kurayoshi,JP,2021-09-23 22:53:33,35.4333,133.8167,66.02,75,68,1.63
196,Ghatsila,IN,2021-09-23 22:53:34,22.6,86.4833,75.6,97,88,0.83
197,Merrill,US,2021-09-23 22:53:34,45.1805,-89.6835,71.37,46,1,8.05
198,Severo-Kurilsk,RU,2021-09-23 22:53:35,50.6789,156.125,48.85,92,100,27.13
199,Sanmenxia,CN,2021-09-23 22:53:35,34.7747,111.1814,69.84,93,100,7.16
200,Yerbogachen,RU,2021-09-23 22:53:36,61.2767,108.0108,37.56,95,100,1.36
201,Solomenskoye,RU,2021-09-23 22:53:36,44.2167,44.3528,53.91,93,100,5.79
202,Los Llanos De Aridane,ES,2021-09-23 22:53:37,28.6585,-17.9182,71.35,86,0,10.36
203,Barquisimeto,VE,2021-09-23 22:53:38,10.0739,-69.3228,74.44,83,100,8.34
204,Broadford,AU,2021-09-23 22:53:38,-37.2,145.0667,61.5,71,19,8.34
205,Shimoda,JP,2021-09-23 22:53:39,34.6667,138.95,76.53,74,82,7.78
206,Keti Bandar,PK,2021-09-23 22:53:39,24.1447,67.4497,81.05,86,90,15.05
207,Palu,ID,2021-09-23 22:53:40,-0.8917,119.8707,77.22,88,56,2.66
208,Longyearbyen,SJ,2021-09-23 22:53:40,78.2186,15.6401,44.44,76,75,19.57
209,Chumikan,RU,2021-09-23 22:53:41,54.7183,135.315,48.34,63,0,13.15
210,Bolu,TR,2021-09-23 22:53:41,40.6667,31.5833,44.22,95,97,3.71
211,Upernavik,GL,2021-09-23 22:53:42,72.7868,-56.1549,28.42,94,100,12.84
212,Amapa,BR,2021-09-23 22:53:43,1.0,-52.0,79.09,63,100,5.17
213,Husavik,IS,2021-09-23 22:53:43,66.0449,-17.3389,37.31,94,100,27.36
214,Bairiki,KI,2021-09-23 22:53:45,1.3292,172.9752,86.0,74,40,8.05
215,Victoria,HK,2021-09-23 22:52:11,22.2855,114.1577,84.33,86,60,16.44
216,Bendigo,AU,2021-09-23 22:53:46,-36.7667,144.2833,54.03,65,0,10.29
217,Puerto Carreno,CO,2021-09-23 22:53:46,6.189,-67.4859,77.34,88,100,6.91
218,Puerto Escondido,MX,2021-09-23 22:53:46,15.85,-97.0667,84.0,75,86,4.03
219,Shumskiy,RU,2021-09-23 22:53:47,54.8318,99.1328,38.71,98,100,2.71
220,Marawi,PH,2021-09-23 22:53:47,7.9986,124.2928,66.65,92,84,0.85
221,Kodiak,US,2021-09-23 22:53:48,57.79,-152.4072,40.37,88,100,19.62
222,Tabou,CI,2021-09-23 22:53:48,4.423,-7.3528,77.41,89,30,5.99
223,Olavarria,AR,2021-09-23 22:53:49,-36.8927,-60.3225,52.7,81,85,3.33
224,Yulara,AU,2021-09-23 22:53:38,-25.2406,130.9889,49.84,34,22,5.75
225,Hithadhoo,MV,2021-09-23 22:53:50,-0.6,73.0833,80.33,83,100,15.43
226,Ostrogozhsk,RU,2021-09-23 22:53:50,50.8664,39.0756,46.74,84,83,4.54
227,Sept-Iles,CA,2021-09-23 22:53:52,50.2001,-66.3821,53.06,92,90,1.01
228,Belmonte,BR,2021-09-23 22:53:52,-15.8631,-38.8828,68.5,66,99,11.52
229,Magadan,RU,2021-09-23 22:53:53,59.5667,150.8,48.63,68,1,2.1
230,Lorengau,PG,2021-09-23 22:53:53,-2.0226,147.2712,82.62,76,98,10.42
231,Illela,NG,2021-09-23 22:53:54,13.7292,5.2975,86.86,48,95,9.73
232,Dukat,RU,2021-09-23 22:53:54,62.55,155.55,40.28,64,9,3.11
233,Conakry,GN,2021-09-23 22:53:55,9.538,-13.6773,74.35,79,100,6.22
234,Hirara,JP,2021-09-23 22:53:55,24.8,125.2833,82.26,89,20,6.91
235,Aksu,CN,2021-09-23 22:53:56,41.1231,80.2644,64.71,34,0,2.24
236,Shamkhal,RU,2021-09-23 22:53:56,43.0596,47.3373,60.78,83,100,10.0
237,Pravda,RU,2021-09-23 22:53:57,46.9396,142.009,46.4,79,4,12.35
238,Halifax,CA,2021-09-23 22:52:37,44.6453,-63.5724,68.05,87,7,1.01
239,Ouadda,CF,2021-09-23 22:53:59,8.0777,22.4007,68.65,95,51,2.98
240,Tilichiki,RU,2021-09-23 22:53:59,60.4667,166.1,45.7,70,81,6.98
241,Isangel,VU,2021-09-23 22:54:00,-19.55,169.2667,75.31,73,90,4.61
242,Pevek,RU,2021-09-23 22:54:00,69.7008,170.3133,29.16,86,98,10.4
243,Codrington,AU,2021-09-23 22:54:00,-38.2667,141.9667,52.75,77,78,19.62
244,Ereymentau,KZ,2021-09-23 22:54:01,51.6199,73.1033,37.8,76,96,5.91
245,Springbok,ZA,2021-09-23 22:54:02,-29.6643,17.8865,51.87,41,79,3.09
246,Ravar,IR,2021-09-23 22:54:02,31.2656,56.8055,77.07,21,16,3.24
247,Nemuro,JP,2021-09-23 22:54:03,43.3236,145.575,55.08,87,100,19.6
248,Kemijarvi,FI,2021-09-23 22:54:03,66.7131,27.4306,43.45,84,100,12.39
249,Karasburg,NA,2021-09-23 22:54:04,-28.0167,18.75,60.6,25,55,6.71
250,Raymond Terrace,AU,2021-09-23 22:54:04,-32.75,151.75,71.49,56,0,14.97
251,Inhambane,MZ,2021-09-23 22:54:06,-23.865,35.3833,65.17,79,0,4.94
252,Chicama,PE,2021-09-23 22:54:06,-7.8447,-79.1469,61.34,75,23,7.31
253,Vestmannaeyjar,IS,2021-09-23 22:54:07,63.4427,-20.2734,48.27,89,99,8.81
254,Ejido,VE,2021-09-23 22:54:07,8.5514,-71.2375,68.31,91,100,4.34
255,Thompson,CA,2021-09-23 22:54:07,55.7435,-97.8558,60.96,72,75,8.05
256,Nuevo Progreso,MX,2021-09-23 22:54:08,23.1667,-97.95,87.6,47,16,10.0
257,Fortuna,US,2021-09-23 22:53:27,40.5982,-124.1573,77.86,57,1,3.0
258,Nanortalik,GL,2021-09-23 22:54:09,60.1432,-45.2371,35.98,76,24,19.26
259,Duku,NG,2021-09-23 22:54:10,11.2361,4.9073,74.86,90,92,4.0
260,Klaksvik,FO,2021-09-23 22:54:11,62.2266,-6.589,52.72,95,100,22.12
261,Qaqortoq,GL,2021-09-23 22:54:12,60.7167,-46.0333,35.2,63,0,10.27
262,Ribeira Grande,PT,2021-09-23 22:54:12,38.5167,-28.7,70.47,64,88,6.46
263,Seydi,TM,2021-09-23 22:54:13,39.4816,62.9137,66.31,21,0,11.74
264,Stromness,GB,2021-09-23 22:54:13,58.965,-3.296,53.85,91,100,11.99
265,Guaymas,MX,2021-09-23 22:54:14,27.9333,-110.9,91.45,52,100,10.25
266,Saint-Augustin,CA,2021-09-23 22:54:14,51.226,-58.6502,49.5,88,90,5.35
267,Bambous Virieux,MU,2021-09-23 22:54:15,-20.3428,57.7575,72.21,88,75,12.66
